R_Satisfaction	QuestionString	Question Group	QuestionNumber	Rank
0.028895123	Vol_Resourceful	Self_Reported	Q03	1
0.055297276	Vol_Resilient	Self_Reported	Q08	2
0.099827154	Professional_Learning_Communities	Education	Q09	3
0.104301801	Vol_Emotionally_Intelligent	Self_Reported	Q07	4
0.123346603	Data_Analysis_Tool	Education	Q11	5
0.14581132	Vol_Adaptable	Self_Reported	Q06	6
0.186765742	Vol_Patient	Self_Reported	Q04	7
0.196401833	Improved_local_language	Impact	Q31	8
0.202265862	Vol_Culturally_Competent	Self_Reported	Q05	9
0.220816523	WorldTeachNet	Education	Q13	10
0.292865123	I_felt_safe_country_of_service	Safety	Q25	11
0.305256484	Helped_defineorchange_my_career_outlook	Impact	Q32	12
0.306691876	I_felt_safe_in_my_community	Safety	Q24	13
0.313215671	WorldTeach_Offered_a_useful_service_in_country	Impact	Q28	14
0.318651003	Professional_Development_Modules_Scholarly_Articles	Education	Q12	15
0.339177947	Meaningful_teaching_experience	Impact	Q29	16
0.366352315	MidService_Conference	Support	Q36	17
0.381646365	I_felt_safe_in_my_home	Safety	Q23	18
0.383422114	Increased_cultural_understanding	Impact	Q30	19
0.427150312	Predeparture_materials_and_assistance	Support	Q34	20
0.434500357	The_Five_Step_Lesson_Plan_Template	Education	Q10	21
0.445466634	The_site_visit_was_useful_to_me	Support	Q20	22
0.494239049	Site_visitteaching_observation_by_Field_Director	Support	Q38	23
0.500386966	Provided_a_worthwhile_experience	Impact	Q33	24
0.505029261	FD_Kept_volunteers_informed_of_changes_and_relevant_information	Staff	Q18	25
0.522651256	SV_FS_gave_me_useful_and_professional_feedback	Staff	Q22	26
0.526410178	EndofService_Conference	Support	Q39	27
0.571160428	FD_Followed_through_on_administrative_site_or_housing_issues	Staff	Q17	28
0.598353756	FD_Was_accessible_and_eager_to_help	Staff	Q14	29
0.607621304	FD_Responded_promptly_to_requests_for_help	Staff	Q15	30
0.627612175	Orientation_and_in_country_training	Support	Q35	31
0.654310098	FD_Anticipated_needs_of_volunteers	Staff	Q16	32
0.685937884	SV_FS_me_feel_supported	Staff	Q21	33
0.714258418	In_country_staff_support_and_communication	Staff	Q37	34
